"","PERMNO","TICKER","CUSIP","year","RET","mcap"
"7512",14690,"ARDX","03969710",2016,-0.216337280057128,447117.3
"7513",14691,"CBAY","23257D10",2015,-0.828075798742293,142404.24
"7514",14691,"CBAY","23257D10",2016,0.0236684885054987,42673.54
"7515",14693,"CBMG","15117P10",2015,0.664607742500824,151552.1
"7516",14693,"CBMG","15117P10",2016,-0.390414985435764,240213.12
"7517",14694,"GPRO","38268T10",2015,-0.715120778887454,3483325.17
"7518",14694,"GPRO","38268T10",2016,-0.5163811094628,1880139.24
"7519",14695,"KITE","49803L10",2015,0.0684928096975719,2535740.57
"7520",14695,"KITE","49803L10",2016,-0.272317994157686,3013770.24
"7521",14696,"MIK","59408Q10",2015,-0.105941907646276,5045888.9
"7522",14696,"MIK","59408Q10",2016,-0.0750830574233904,4661964.53
"7523",14697,"MOBL","60739U20",2015,-0.637553399264032,751639.98
"7524",14697,"MOBL","60739U20",2016,0.0387845313621489,299279.68
"7525",14702,"AMAT","03822210",2010,0.0306322558598331,19196234.2
"7526",14702,"AMAT","03822210",2011,-0.218802248971101,18599594.38
"7527",14702,"AMAT","03822210",2012,0.101844697676761,13857944.5
"7528",14702,"AMAT","03822210",2013,0.585615900954496,14155263.585
"7529",14702,"AMAT","03822210",2014,0.436840084251556,21147048
"7530",14702,"AMAT","03822210",2015,-0.235085825133933,30487941.12
"7531",14702,"AMAT","03822210",2016,0.756521531525368,21071850.43
"7532",14703,"MRD","58605Q10",2015,-0.104271430268429,3675265
"7533",14704,"MRKT","G4756710",2015,0.141501662536573,4757888.8
"7534",14704,"MRKT","G4756710",2016,0.173679222592566,5283760.72
"7535",14705,"MTLS","57667T10",2015,-0.258404612014174,103576.11
"7536",14705,"MTLS","57667T10",2016,0.0878071771793081,93808
"7537",14706,"PARN","Q7362210",2015,-0.065060505459857,63227.08
"7538",14706,"PARN","Q7362210",2016,-0.822138893287515,51197.9952
"7539",14707,"RDUS","75046920",2015,0.581592467731755,1356839.25
"7540",14707,"RDUS","75046920",2016,-0.382025750774441,2514564
"7541",14708,"SGNL","82664020",2015,-0.705512475876872,9268.35
"7542",14708,"SGNL","82664020",2016,-0.553478316473536,7657.2
"7543",14709,"UDF","91018710",2015,-0.33373814061913,548223.3
"7544",14709,"UDF","91018710",2016,-0.70517693781068,315390.4
"7545",14710,"XNET","98419E10",2015,0.0356246461075096,86496
"7546",14710,"XNET","98419E10",2016,-0.489417483808638,203591.16
"7547",14711,"ZFGN","98885E10",2015,-0.796044823800921,707418.68
"7548",14711,"ZFGN","98885E10",2016,-0.494435110100162,174248.91
"7549",14713,"ADPT","00685510",2015,0.457754236383748,374011.55
"7550",14713,"ADPT","00685510",2016,-0.859867427485531,779484.86
"7551",14714,"ANET","04041310",2015,0.28110841743682,4038159
"7552",14714,"ANET","04041310",2016,0.243191863355415,5244314.4
"7553",14715,"ASPN","04523Y10",2015,-0.239354587397443,190833.6
"7554",14715,"ASPN","04523Y10",2016,-0.319608169933623,139797.35
"7555",14716,"CCS","15650430",2015,0.0248839414504447,365442.84
"7556",14716,"CCS","15650430",2016,0.18577188027528,362594.08
